reseller_key,Reseller_Name,Codigo_Producto,Cantidad,FechaVenta,Codigo_Pais,Codigo_Moneda,Codigo_Cliente
1,Distribuciones ABC,1,5,2024-01-15,1,1,1
2,Comercializadora XYZ,2,3,2024-01-16,1,1,2
3,Suministros Global,3,10,2024-01-17,1,1,3
4,Tecnología y Más,4,8,2024-01-18,1,1,4
5,Importaciones JKL,5,2,2024-01-19,1,1,5
6,Electrodomésticos 24,6,4,2024-01-20,1,1,6
7,Librería del Saber,7,6,2024-01-21,1,1,7
8,Comercio Online 365,8,7,2024-01-22,1,1,8
9,Supermercados La Plaza,9,12,2024-01-23,1,1,9
10,Casa de la Tecnología,10,1,2024-01-24,1,1,10
11,Ropa y Estilo,11,9,2024-01-25,1,1,11
12,Productos Ecológicos,12,15,2024-01-26,1,1,12
13,Decoraciones Hogar,13,11,2024-01-27,1,1,13
14,Juguetería Mundo Feliz,14,20,2024-01-28,1,1,14
15,Viajes y Turismo,15,3,2024-01-29,1,1,15
16,Agropecuaria La Granja,16,18,2024-01-30,1,1,16
17,Artículos para Mascotas,17,5,2024-01-31,1,1,17
18,Centro de Fitness,18,4,2024-02-01,1,1,18
19,Restaurante Gourmet,19,2,2024-02-02,1,1,19
20,Carpintería El Buen Trabajo,20,7,2024-02-03,1,1,20
21,Tienda de Suministros,21,3,2024-02-04,1,1,21
22,Farmacia Salud Total,22,6,2024-02-05,1,1,22
23,Estudio Fotográfico Momentos,23,8,2024-02-06,1,1,23
24,Servicios de Jardinería,24,2,2024-02-07,1,1,24
25,Tienda de Tecnología,25,9,2024-02-08,1,1,25
26,Distribución de Alimentos,26,13,2024-02-09,1,1,26
27,Suministros de Oficina,27,5,2024-02-10,1,1,27
28,Repuestos Automotrices,28,10,2024-02-11,1,1,28
29,Librería El Saber,29,12,2024-02-12,1,1,29
30,Consultora de Negocios,30,4,2024-02-13,1,1,30
